"","groupingType","Constituent","n","mean","min","max","sd","median","q1","q3"
"1","early","arabinose_free",60,0.3,0.2,0.5,0.1,0.3,0.3,0.4
"2","early","arabinose_tot",60,0.4,0.2,0.7,0.1,0.4,0.4,0.5
"3","early","galactose_free",60,0.1,0,0.3,0.1,0,0,0.1
"4","early","galactose_tot",60,0.2,0.1,0.4,0.1,0.2,0.1,0.2
"5","early","glucose_free",60,0,0,0,0,0,0,0
"6","early","glucose_tot",60,0.3,0,0.8,0.1,0.3,0.2,0.3
"7","waste","arabinose_free",22,0.3,0,0.6,0.2,0.3,0.2,0.3
"8","waste","arabinose_tot",22,0.3,0,0.7,0.2,0.3,0.2,0.3
"9","waste","galactose_free",22,0,0,0.1,0,0,0,0.1
"10","waste","galactose_tot",22,0.1,0,0.2,0.1,0.1,0,0.1
"11","waste","glucose_free",22,0,0,0,0,0,0,0
"12","waste","glucose_tot",22,0,0,0.2,0,0,0,0
"13","late","arabinose_free",41,0.4,0,2.2,0.6,0.2,0,0.7
"14","late","arabinose_tot",41,2.6,0.2,9.5,2.3,1.7,1,3.6
"15","late","galactose_free",41,0.1,0,0.6,0.1,0.1,0,0.2
"16","late","galactose_tot",41,2.2,0.3,7.1,2.2,1.3,0.8,2.1
"17","late","glucose_free",41,0,0,0,0,0,0,0
"18","late","glucose_tot",41,6.5,1.1,27,6.1,3.6,2.7,7.8
